description,id,isPullModel,isTeacherApp,language,title,type,Local language title,Theme,Module title in local language ,audio link
riddles - food,63,TRUE,TRUE,kannada,Riddles - food 3,Snippets,ಆಹಾರದ ಒಗಟುಗಳು 3,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
riddles - food,64,TRUE,TRUE,kannada,Riddles - food 4,Snippets,ಆಹಾರದ ಒಗಟುಗಳು 4,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
riddles - food,65,TRUE,TRUE,kannada,Riddles - food 5,Snippets,ಆಹಾರದ ಒಗಟುಗಳು 5,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
A story about how an old woman transforms the mind of thieves who have a plan to steal a treasure,66,TRUE,TRUE,kannada,Old Woman and four thieves,Story,"ಅಜ್ಜಿ, ನಿಧಿ ಮತ್ತು ನಾಲ್ಕು ಕಳ್ಳರು",My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,62b15d33-a8fb-443a-aa89-a64ca2371f13,TRUE,TRUE,kannada,Jogada Siri Belakinalli,Song,ಜೋಗದ ಸಿರಿ ಬೆಳಕಿನಲ್ಲಿ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Kannada Story,20,TRUE,TRUE,kannada,Snehitaru,Story,ನಾನು ಮತ್ತು ನನ್ನ ಶರೀರ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
Kannada Rhyme,21,TRUE,TRUE,kannada,Ondu Kadina,Song,ಒಂದು ಕಾಡಿನ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Fun Rhyme on children requesting icecream from grandmother,48,TRUE,TRUE,kannada,"Ajji, Ajii Ice Cream Tinnona Banni",song,ಅಜ್ಜಿ ಅಜ್ಜಿ ಐಸ್ ಕ್ರೀಮ್ ತಿನ್ನೋಣ ಬನ್ನಿ,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
A curious monkey wants to know how loud an elephantâ€™s sneeze is,49,TRUE,TRUE,kannada,Achoo,Story,ಅಚ್ಚೂ…….,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
Rhyme on Grandmother,46,TRUE,TRUE,kannada,Ajji Ajji,song,ಅಜ್ಜಿ ಅಜ್ಜಿ,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
Rhyme on grandfather,47,TRUE,TRUE,kannada,Thatha thatha,song,ತಾತ ತಾತ,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
About family members and relationships and how do we call each other,44,TRUE,TRUE,kannada,Nanna kutumba,Story,ನನ್ನ ಕುಟುಂಬ,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
A story to familiarize family,42,TRUE,TRUE,kannada,Roopa aur chotu,Story,ರೂಪ ಮತ್ತು ಚೋಟು,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
,29,TRUE,TRUE,kannada,Nayi Mari Nayi Mari,song,ನಾಯಿ ಮರಿ ನಾಯಿ ಮರಿ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Introduction rhyme. This rhymes introduce different regions and languages,40,TRUE,TRUE,english,My Name is Madhavi,song,ಮೈ ನೇಮ್ ಇಸ್ ಮಾಧವಿ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
,91f58c89-38b2-4417-a471-0f679a06a34d,TRUE,TRUE,kannada,Family Riddle 3,Snippets,ಕುಟುಂಬದ ಒಗಟುಗಳು 3,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
,5c416e0b-c324-4781-b2d0-a4158ff75d22,TRUE,TRUE,kannada,Family Riddle 1,Snippets,ಕುಟುಂಬದ ಒಗಟುಗಳು 1,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
This audio content talks about why we get hiccups and few facts on that,43,TRUE,TRUE,kannada,Bikkalu,Snippets,ಬಿಕ್ಕಳಿಕೆ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
,215243b8-1b4c-418d-9efb-ca7db3078f0c,TRUE,TRUE,kannada,Family Riddle Answers,Snippets,,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
,39,TRUE,TRUE,kannada,Karadi bettakke hogithu,song,ಕರಡಿ ಬೆಟ್ಟಕ್ಕೆ ಹೋಗಿತ್ತು,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
,49ce07e5-f876-4493-9a35-44f2ed541b8a,TRUE,TRUE,kannada,Family Riddle 5,Snippets,ಕುಟುಂಬದ ಒಗಟುಗಳು 5,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
,38,TRUE,TRUE,kannada,Ondu Eradu Balale Haradu,Song,ಒಂದು ಎರಡು ಬಾಳೆಲೆ ಹರಡು,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
"A Story which explains the digestive system. Chinu stuffs himself with too many gulab jamuns. Now itâ€™s up to his friends, the different parts of his digestive system, to save the day.",59,TRUE,TRUE,kannada,Chinu's friends save the day,Story,ಚಿನ್ನು ಮತ್ತು ಸ್ನೇಹಿತರು,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
Learn vegetable names,58,TRUE,TRUE,kannada,vegetable names,Song,ತರಕಾರಿಗಳ ಹೆಸರು,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
,13,TRUE,TRUE,kannada,Thimma Kannada Poem,song,ತಿಮ್ಮನ ಹಾಡು,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Kannada Rhyme,15,TRUE,TRUE,kannada,Hattu Hattu Ipattu,Song,ಹತ್ತು ಹತ್ತು ಇಪ್ಪತ್ತು,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Kannada Rhyme,16,TRUE,TRUE,kannada,Aane banthondu aane,song,ಆನೆ ಬಂತೊಂದು ಆನೆ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
This Kannada Rhyme introduces children to different types of vegetables,57,TRUE,TRUE,kannada,Beke beke tarkari,song,ಬೇಕೆ ಬೇಕೆ ತರಕಾರಿ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
A Story about one girlâ€™s adventures with food,56,TRUE,TRUE,kannada,Uma mathe uppittu,Story,ಉಮಾ ಮತ್ತೆ ಉಪ್ಪಿಟ್ಟು,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
A story about a girl who loves her pet,51,TRUE,TRUE,kannada,Neha and her pet,Story,ನೇಹಾ ಮತ್ತು ಅವಳ ಬೆಕ್ಕು,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
A story about a girl who was a orphan and how she made a family and took a family photo,50,TRUE,TRUE,kannada,Family Photo,Story,ಫ್ಯಾಮಿಲಿ ಫೋಟೋ,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
This audio content talks about why we get burps and few facts on that,53,TRUE,TRUE,kannada,Why burping?,Snippets,ತೇಗು ಏಕೆ ಬರುತ್ತದೆ?,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
A Kannada Rhyme which introduces finger names,55,TRUE,TRUE,kannada,Beralugala Kutumba,Snippets,ಬೆರಳುಗಳ ಕುಟುಂಬ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
"A little girl Tanu is telling her mother about how she has learnt about the various Body-Parts and their use at School. But there is a twist to the tale! She realizes that there are many other specially-abled children, whose parts of the body do not function in the same way as hers.",54,TRUE,TRUE,kannada,Tanu learns about her body special,Story,ತನು ತನ್ನ ದೇಹದ ವೈಶಿಷ್ಟ್ಯದ ಬಗ್ಗೆ ತಿಳಿಯುತ್ತಾಳೆ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
A silly rhyme,b2fa0b8f-d11a-4596-931c-d324393ab6e5,TRUE,TRUE,kannada,Undadi gunda,Song,ಉಂಡಾಡಿ ಗುಂಡ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
A story on animal sounds,8f85208a-d69c-41ec-aaf3-52d9ee42f53f,TRUE,TRUE,kannada,Yaradu,Story,ಯಾರದು?,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
A song,7b1f6a4a-0eef-44c2-8c44-6c7e8791e002,TRUE,TRUE,kannada,Yako Gotilla,Song,ಯಾಕೋ ಗೊತ್ತಿಲ್ಲ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Kannada Pussy cat rhyme,ed42dfb0-a806-46c1-a6e3-b878c352345d,TRUE,TRUE,kannada,Mudhina Bekke,Song,ಮುದ್ದಿನ ಬೆಕ್ಕೆ,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
song clapping game,96f1f3b1-7f8e-4b83-b2d4-d694fa61f2a9,TRUE,TRUE,kannada,Achchu belladachchu,Song,ಅಚ್ಚಚ್ಚು ಬೆಲ್ಲದಚ್ಚು,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
,9966a097-ffd3-4c25-8239-d52412e97c0a,TRUE,TRUE,kannada,Everyone has a name,Snippets,ಎಲ್ಲರಿಗೂ ಹೆಸರಿದೆ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Cat sound,c1523ce4-996a-4990-9d11-3fe102d54959,TRUE,TRUE,kannada,Animal sound 1,Snippets,ಪ್ರಾಣಿಗಳ ಶಬ್ದ 1,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,1dc78502-28eb-49f6-933f-e658177a03b3,TRUE,TRUE,kannada,Animal sound 2,Snippets,ಪ್ರಾಣಿಗಳ ಶಬ್ದ 2,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,a337cce9-f322-493b-bc42-eeff484122be,TRUE,TRUE,kannada,Animal sound 3,Snippets,ಪ್ರಾಣಿಗಳ ಶಬ್ದ 3,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,e09bca25-07d9-4f02-b9df-346df52420ae,TRUE,TRUE,kannada,Animal sound 4,Snippets,ಪ್ರಾಣಿಗಳ ಶಬ್ದ 4,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,4db5b66e-a457-4e21-a272-0ce05733d12f,TRUE,TRUE,kannada,Animal sound 5,Snippets,ಪ್ರಾಣಿಗಳ ಶಬ್ದ 5,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
Tandanano,8a23dc22-398e-4c85-abc2-85110f27fd58,TRUE,TRUE,kannada,Tandanano,Song,ತಂದನಾನೋ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Papluvina prashnegLu,510aeda8-2f24-4b2a-99d5-5d85f4756931,TRUE,TRUE,kannada,Papluvina prashnegLu,Story,ಪಪ್ಲುವಿನ ಪ್ರಶ್ನೆಗಳು,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Palindrome,251be01e-7006-44ba-885b-286cbd6f4464,TRUE,TRUE,kannada,Kannada Palindrome,Snippets,ಕನ್ನಡ ಪ್ಯಾಲಿನ್ ಡ್ರೋಮ್ ಪದಗಳು,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Clap song,e9d7c8b7-5e84-4f18-b7dd-d56553d83186,TRUE,TRUE,English,Clap song,Song,ಚಪ್ಪಾಳೆ ಹಾಡು,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
I am,ee3cd1cd-5aaa-4cc9-be1a-54415212278c,TRUE,TRUE,kannada,I am,Snippets,ನಾನಿರುವೆ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
Ramzan,1dfe33fd-7fb7-4adb-9d60-2d9ae3c44910,TRUE,TRUE,kannada,Ramzan,Song,ರಂಜಾನ್ ಹಾಡು,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,33dfb280-9cd3-4d9c-8ae1-e553788870c4,TRUE,TRUE,kannada,The Finger Family,Song,ಬೆರಳುಗಳ ಕುಟುಂಬ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
Sense organs,503c9e11-1512-4251-8036-863887177cf1,TRUE,TRUE,kannada,Sense things with other Organs,Snippets,ಬೇರೆ ಅಂಗಗಳಿಂದ ನಮ್ಮ ಸುತ್ತಮುತ್ತಲಿನ ಗ್ರಹಿಕೆ ,Senses and emotions,ಭವಾನೆಗಳು,
Song,0950cee1-b576-4219-9608-6d4ea61ca87b,TRUE,TRUE,kannada,Head Shoulders knees and toes,Song,"ಕತ್ತು, ಭುಜ, ಮಂಡಿ ಮತ್ತು ಕಾಲ್ಬೆರಳು",Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
Why do we yawn,bf246a58-0efc-4e05-8644-f11d2a54c110,TRUE,TRUE,kannada,Yawn,Snippets,ಆಕಳಿಕೆ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
,ffa3ae80-ba35-44b9-a719-1054d3b98c21,TRUE,TRUE,kannada,body trivia,Snippets,ನಮ್ಮ ದೇಹದ ಬಗ್ಗೆ ಕುತೂಹಲಕಾರಿ ವಿಷಯಗಳು,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
about sleep,ef3c4f62-547c-40e2-b272-51d5f0f8a772,TRUE,TRUE,kannada,sleep,Snippets,ನಿದ್ದೆ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
,14231d46-dd28-48f0-a1a7-50120a6554c3,TRUE,TRUE,kannada,Vehicle sound- Aeroplane,Snippets,ವಾಹನ ಶಬ್ದ 1,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,bb9e3637-20d0-4aba-ae63-e6ba7144d74e,TRUE,TRUE,kannada,Vehicle sound - Firetruck,Snippets,ವಾಹನ ಶಬ್ದ 2,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,2e90bb52-3d8a-40ef-aa62-d751b739005c,TRUE,TRUE,kannada,Vehicle sound - Bicycle bell,Snippets,ವಾಹನ ಶಬ್ದ 3,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,3038ccd9-8e29-46ff-9ff3-6107873c36d2,TRUE,TRUE,kannada,Sound - Traffic Jam,Snippets,ಈ ಶಬ್ದವನ್ನು ಗುರುತಿಸಿ 1,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,8d4e98a0-8580-4856-9a2e-54e2b54e6b91,TRUE,TRUE,kannada,Animal Sound - Mouse,Snippets,ಪ್ರಾಣಿಗಳ ಶಬ್ದ 6,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,2fe6a819-e9ee-41c0-8053-0ed2471b1ea1,TRUE,TRUE,kannada,Street sound - running,Snippets,ಈ ಶಬ್ದವನ್ನು ಗುರುತಿಸಿ 2,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,4c4a54b3-21a8-482d-805c-b4274994f33a,TRUE,TRUE,kannada,Animalsound - Labrador,Snippets,ಪ್ರಾಣಿಗಳ ಶಬ್ದ 7,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,49ccf36d-d8d4-4292-b902-bce373192eb4,TRUE,TRUE,kannada,Day out with Tambi,Story,ತಂಬಿಯೊಂದಿಗೆ ಒಂದು ದಿನ,Senses and emotions,ಭವಾನೆಗಳು,
,f20b5105-0201-4f08-bdbe-c6924c5fbe20,TRUE,TRUE,kannada,Street sound - unknown,Snippets,ಈ ಶಬ್ದವನ್ನು ಗುರುತಿಸಿ 3,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,3ef325ba-387e-4ef3-a9cd-22785c50e737,TRUE,TRUE,kannada,Bheema-The donkey,Story,ಭೀಮ ಎಂಬ ಕತ್ತೆ,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,https://drive.google.com/file/d/1nOTls1auWGevvaKq-VqBHocs8fgetmZO/view?usp=drive_link
,25905a08-c6c9-4e4a-b6af-b94f660d5d59,TRUE,TRUE,kannada,Siriya Nagu,Story,ಸಿರಿಯ ನಗು,Senses and emotions,ಭವಾನೆಗಳು,https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217817&parId=FC4AD72C6E7A6781%217809&o=OneUp
,61976a4f-6c31-4306-99d7-fb20f6e6b40a,TRUE,TRUE,kannada,Fear of the dark - à²®à²¨à³†à²¯à²²à³à²²à²¿ à²¯à²¾à²°à³‚ à²‡à²²à³à²²,Song,ಕತ್ತಲೆಯ ಭಯ,Senses and emotions,ಭವಾನೆಗಳು,https://youtu.be/uo8V-Jcp8eo
,da1bcb5a-229f-40bc-8cf9-2787baf47604,TRUE,TRUE,kannada,Fear - Pickle Jar,Snippets,ಭಯ ಎಂದರೇನು?,Senses and emotions,ಭವಾನೆಗಳು,https://drive.google.com/file/d/1csAjcCr7XpuoUXcebX_Q5_KVnG-KrUV_/view?usp=share_linkk
,6c1203b7-3626-4ef2-b242-bc6daab0ed72,TRUE,TRUE,kannada,Jokhu mathu jokini,Story,ಜೋಕು ಮತ್ತು ಜೋಕಿನಿ,Senses and emotions,ಭವಾನೆಗಳು,https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217813&parId=FC4AD72C6E7A6781%217809&o=OneUp
,321345bd-3aa7-47ae-b032-0eedd64f0d49,TRUE,TRUE,kannada,Chandri mattu idli,Story,ಚಂದ್ರ ಮತ್ತು ಇಡ್ಲಿ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217816&parId=FC4AD72C6E7A6781%217809&o=OneUp
,808ee8da-8e59-4e14-9d54-913b1b2816f0,TRUE,TRUE,kannada,Champa and her stage fear,Story,ಚಂಪಾಳ ಭಯ,Senses and emotions,ಭವಾನೆಗಳು,https://drive.google.com/file/d/1csAjcCr7XpuoUXcebX_Q5_KVnG-KrUV_/view?usp=share_link
,,TRUE,TRUE,Kannada,Bhus ennu kachbeda,Story,ಬುಷ್ ಎನ್ನು ಕಚ್ಚಬೇಡ,Senses and emotions,ಭವಾನೆಗಳು,"https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217820&parId=FC4AD72C6E7A6781%217809&o=OneUp
"
,,TRUE,TRUE,Kannada,chuchu maantu and sweets,Story,ಚೂಚೂ ಮಾಂತುವಿನ ಮಿಠಾಯಿ ಜಾಡಿ,Senses and emotions,ಭವಾನೆಗಳು,https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217867&parId=FC4AD72C6E7A6781%217809&o=OneUp
,,TRUE,TRUE,Kannada,When will Amma return?,Story,ಅಮ್ಮ ಯಾವಾಗ ಹಿಂದಿರುಗುತ್ತಾರೆ?,Senses and emotions,ಭವಾನೆಗಳು,https://drive.google.com/file/d/1DAsrGYqVh_KmYQnau2peNaT_B07ydu2T/view?usp=sharing
,,TRUE,TRUE,Kannada,An intro to Helen Keller,Story,ಹೆಲನ್ ಕೆಲ್ಲರ್ ನ ಬಗ್ಗೆ ಪರಿಚಯ,Senses and emotions,ಭವಾನೆಗಳು,https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217873&parId=FC4AD72C6E7A6781%217809&o=OneUp
,,TRUE,TRUE,Kannada,Helen Keller on love,Story,ಪ್ರೀತಿಯ ಕುರಿತು ಹೆಲನ್ ಕೆಲ್ಲರ್,Senses and emotions,ಭವಾನೆಗಳು,https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217874&parId=FC4AD72C6E7A6781%217809&o=OneUp
,,TRUE,TRUE,Kannada,Sadananda lost something,Story,ಸದಾನಂದ ಮರಳಿ ಬಂದಾಗ,Senses and emotions,ಭವಾನೆಗಳು,"https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217865&parId=FC4AD72C6E7A6781%217809&o=OneUp
"
,,,,Kannada,Beeji's story,Story,ಬೀಜಿಯ ಕಥೆ,Senses and emotions,ಭವಾನೆಗಳು,https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217792&parId=FC4AD72C6E7A6781%217795&o=OneUp
,,,,Kannada,Munjaneddu Kumbaranna,Story,ಮುಂಜಾನೆದ್ದು ಕುಂಬಾರಣ್ಣ,Senses and emotions,ಭವಾನೆಗಳು,https://youtu.be/oKq7OyqO-I4
,,,,Kannada,Come see the changes,Story,ಬನ್ನಿ ಬದಲಾವಣೆಗಳನ್ನು ನೋಡಿ,Senses and emotions,ಭವಾನೆಗಳು,https://onedrive.live.com/?authkey=%21AjXq6eHk8kZmj54&cid=FC4AD72C6E7A6781&id=FC4AD72C6E7A6781%217788&parId=FC4AD72C6E7A6781%217795&o=OneUp
