description,id,isPullModel,isTeacherApp,language,title,type,Local language title,Theme,Module title in local language ,audio link
,37,FALSE,TRUE,kannada,Bendekayi Thondekayi,Song,,,,
,36,FALSE,TRUE,kannada,He Shaarade,Song,,,,
A short collection about the various parts of a body.,60,FALSE,TRUE,kannada,Know your body parts,Story,ನನ್ನ ದೇಹ,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
,27,FALSE,FALSE,kannada,Kannada Rajyotsava speech-2022,Speech,,,,
Kittur Rani Chennamma life story,28,FALSE,TRUE,kannada,Kittur Rani Chennamma life story,Story,,,,
A fun rhyme sung in different ways or styles,41,FALSE,TRUE,english,Twinkle Twinkle Little Star,song,ಟ್ವಿಂಕಲ್ ಟ್ವಿಂಕಲ್ ಲಿಟ್ಲ್ ಸ್ಟಾರ್,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
,5,FALSE,FALSE,english,Saving Trees,Story,,,,
,7,FALSE,FALSE,english,Healthy Surroundings,Story,,,,
,6,FALSE,FALSE,english,Water Harvesting Success,Story,,,,
,9,FALSE,TRUE,english,Dream English Traditional Song,Song,,,,
,8,FALSE,FALSE,english,Healthy Body and Healthy Mind,Story,,,,
,a3093c62-229d-4b4e-bbe4-efbe60cf69bb,FALSE,TRUE,kannada,The Family Photo,Story,,,,
,e63441c7-1c65-48ee-a7d1-ff5491b5c032,FALSE,FALSE,hindi,Testing,Story,,,,
,11,FALSE,TRUE,english,One Little Kitten Poem,Song,,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
,10,FALSE,TRUE,english,How are you song.,Song,,,,
,12,FALSE,TRUE,kannada,Rakshaneya Vidhanagalu,Story,,,,
Kannada Rhyme,14,FALSE,TRUE,kannada,Ba Ba Maleraya,Song,,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
Kannada Rhyme,17,FALSE,TRUE,kannada,Kokoko Kozhi,song,,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
Kannada Story,19,FALSE,TRUE,kannada,Buddhivantha nari,story,,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
Kannada Story,18,FALSE,TRUE,kannada,Bayarida kaage,story,,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
A story about how an old woman transforms the mind of thieves who have a plan to steal a treasure,1009,FALSE,FALSE,kannada,Old Woman and four thieves1,Story,,My environment,ನನ್ನ ಸುತ್ತಮುತ್ತಲಿನ ಪರಿಸರ,
A story about how an old woman transforms the mind of thieves who have a plan to steal a treasure,1009,FALSE,FALSE,Kannada,Old Woman and four thieves1,Story,,,,
bb,2a10169f-6c3f-4808-847c-f20e69f65834,FALSE,TRUE,kannada,del,song,,,,
A story about how an old woman transforms the mind of thieves who have a plan to steal a treasure,1009,FALSE,FALSE,Kannada,Old Woman and four thieves1,Story,,,,
A short audio about SEEDS program,e5db87fe-6889-45bd-95f1-dcc1120f6ee8,FALSE,TRUE,kannada,About SEEDS,Snippets,SEEDS ಪ್ರಾಜೆಕ್ಟ್ ನ ಮಾಹಿತಿ,Getting to know each other,ಪರಸ್ಪರ ಪರಿಚಯ,
,cc69a825-be58-45f7-aa6c-8c80f1b70750,TRUE,TRUE,kannada,Family Riddle 2,Snippets,ಕುಟುಂಬದ ಒಗಟುಗಳು 2,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
A kid wishes to have Rabbit as pet.,45,TRUE,TRUE,kannada,Molada Mari,song,ಮೊಲದ ಮರಿ,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
,b79f4141-d6d1-4595-82df-c8b649f41f65,TRUE,TRUE,kannada,Family Riddle 4,Snippets,ಕುಟುಂಬದ ಒಗಟುಗಳು 4,Families and relationships,ಕುಟುಂಬ ಮತ್ತು ಸಂಬಂಧಗಳು,
riddles - food,61,TRUE,TRUE,kannada,Riddles - food 1,Snippets,ಆಹಾರದ ಒಗಟುಗಳು 1,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
riddles - food,62,TRUE,TRUE,kannada,Riddles - food 2,Snippets,ಆಹಾರದ ಒಗಟುಗಳು 2,Our body and its functions,ನಮ್ಮ ದೇಹ ಮತ್ತು ಅದರ ಕಾರ್ಯಗಳು,
